訂單日期,產品ID,客戶ID,銷售價格,銷售數量,促銷活動,銷售渠道,地區
2023-01-01 00:00:00.000000000,P004,926,93.09043078665832,5,VIP,線下,深圳
2023-01-01 01:44:51.178235647,P005,663,138.36347110120184,7,折扣,線上,廣州
2023-01-01 03:29:42.356471294,P003,400,76.31708368633596,6,折扣,移動端,廣州
2023-01-01 05:14:33.534706941,P005,782,71.7455317628829,8,滿減,線上,北京
2023-01-01 06:59:24.712942588,P005,970,85.46021434988772,2,折扣,移動端,北京
2023-01-01 08:44:15.891178235,P002,71,48.133999061340795,7,滿減,線上,北京
2023-01-01 10:29:07.069413882,P003,180,97.70108043489336,4,滿減,移動端,廣州
2023-01-01 12:13:58.247649529,P003,124,80.32050564590321,5,折扣,線下,北京
2023-01-01 13:58:49.425885177,P003,381,119.86500957363029,10,無,線下,上海
2023-01-01 15:43:40.604120824,P005,293,124.34055623569617,4,滿減,線上,廣州
2023-01-01 17:28:31.782356471,P004,797,87.41075952730706,8,滿減,線上,北京
2023-01-01 19:13:22.960592118,P003,195,76.98771970740135,6,折扣,線下,深圳
2023-01-01 20:58:14.138827765,P005,911,64.67758338778658,4,折扣,線上,廣州
2023-01-01 22:43:05.317063412,P002,228,57.438748903846125,5,折扣,線上,杭州
2023-01-02 00:27:56.495299059,P004,431,107.74736948451586,4,滿減,移動端,杭州
2023-01-02 02:12:47.673534706,P002,942,68.16036128508502,6,無,移動端,廣州
2023-01-02 03:57:38.851770354,P004,436,89.63432748570342,2,無,移動端,廣州
2023-01-02 05:42:30.030006001,P005,787,75.12065100251907,2,無,線上,杭州
2023-01-02 07:27:21.208241648,P001,461,113.7420796572565,9,滿減,線下,深圳
2023-01-02 09:12:12.386477295,P004,618,116.02860198532977,1,折扣,線下,深圳
2023-01-02 10:57:03.564712942,P002,21,67.46030042991671,3,無,線下,深圳
2023-01-02 12:41:54.742948589,P005,64,53.67453792756077,4,無,線下,上海
2023-01-02 14:26:45.921184236,P004,165,96.87782786624831,3,無,移動端,上海
2023-01-02 16:11:37.099419884,P001,27,100.39244489894396,2,滿減,移動端,深圳
2023-01-02 17:56:28.277655531,P001,311,84.37318613514596,6,折扣,線上,杭州
2023-01-02 19:41:19.455891178,P003,285,79.95778840722724,2,VIP,線下,上海
2023-01-02 21:26:10.634126825,P003,660,75.98721402349138,7,折扣,線上,北京
2023-01-02 23:11:01.812362472,P002,281,87.35020821081206,10,折扣,線下,上海
2023-01-03 00:55:52.990598119,P004,838,100.80861785289679,1,折扣,線下,杭州
2023-01-03 02:40:44.168833766,P004,831,51.12378074204293,2,無,線上,杭州
2023-01-03 04:25:35.347069413,P003,164,72.62121121937075,4,折扣,移動端,廣州
2023-01-03 06:10:26.525305061,P004,898,105.34521984852658,4,無,線上,杭州
2023-01-03 07:55:17.703540708,P004,918,77.0505973847316,8,滿減,線上,深圳
2023-01-03 09:40:08.881776355,P001,224,128.95131671476426,6,VIP,線下,杭州
2023-01-03 11:25:00.060012002,P003,784,84.11475299428157,2,滿減,移動端,上海
2023-01-03 13:09:51.238247649,P005,146,98.96768282481793,6,滿減,線上,上海
2023-01-03 14:54:42.416483296,P003,965,102.51049717895154,8,VIP,移動端,上海
2023-01-03 16:39:33.594718943,P005,950,68.17430422396211,8,折扣,移動端,杭州
2023-01-03 18:24:24.772954590,P001,868,43.06853904391166,2,折扣,移動端,深圳
2023-01-03 20:09:15.951190238,P002,30,89.28363682708667,5,無,移動端,深圳
2023-01-03 21:54:07.129425885,P004,45,100.58881111854082,4,折扣,線下,廣州
2023-01-03 23:38:58.307661532,P001,787,82.41985964733439,3,VIP,線下,北京
2023-01-04 01:23:49.485897179,P004,471,78.83914246352553,8,滿減,線下,深圳
2023-01-04 03:08:40.664132826,P002,34,98.51344419005443,3,折扣,線下,上海
2023-01-04 04:53:31.842368473,P002,653,91.73062759942368,7,無,線下,廣州
2023-01-04 06:38:23.020604120,P001,427,87.24597965874457,2,滿減,線上,深圳
2023-01-04 08:23:14.198839768,P002,830,103.73640224158274,1,滿減,移動端,深圳
2023-01-04 10:08:05.377075415,P005,886,119.26875524046969,5,無,線下,北京
2023-01-04 11:52:56.555311062,P002,221,159.54283829331365,4,滿減,移動端,北京
2023-01-04 13:37:47.733546709,P004,868,120.68090269143558,4,無,線下,北京
2023-01-04 15:22:38.911782356,P004,534,128.99599915970862,4,無,線下,深圳
2023-01-04 17:07:30.090018003,P004,692,78.61576052277326,3,VIP,線上,深圳
2023-01-04 18:52:21.268253650,P004,948,66.91796761568678,0,VIP,移動端,上海
2023-01-04 20:37:12.446489297,P005,367,81.24662699238246,2,折扣,線下,杭州
2023-01-04 22:22:03.624724945,P003,932,92.41132309334091,3,VIP,線下,北京
2023-01-05 00:06:54.802960592,P001,841,73.03718146588507,4,滿減,線上,上海
2023-01-05 01:51:45.981196239,P004,743,76.49410940191974,2,折扣,移動端,上海
2023-01-05 03:36:37.159431886,P002,915,87.98635203438262,6,折扣,移動端,廣州
2023-01-05 05:21:28.337667533,P004,550,109.009834875452,5,無,線下,上海
2023-01-05 07:06:19.515903180,P002,582,101.34647670114613,1,VIP,線上,北京
2023-01-05 08:51:10.694138827,P002,116,107.27411825343607,8,無,線上,杭州
2023-01-05 10:36:01.872374474,P004,239,69.85982681459889,6,折扣,線下,上海
2023-01-05 12:20:53.050610122,P005,335,87.15248433377892,1,無,移動端,深圳
2023-01-05 14:05:44.228845769,P002,441,70.0262150501531,9,滿減,線下,深圳
2023-01-05 15:50:35.407081416,P002,148,144.61937597962736,3,滿減,移動端,上海
2023-01-05 17:35:26.585317063,P004,9,80.26900729238587,9,折扣,線上,北京
2023-01-05 19:20:17.763552710,P002,288,94.3786736051287,4,滿減,線下,杭州
2023-01-05 21:05:08.941788357,P002,388,69.10217816731968,3,VIP,線下,杭州
2023-01-05 22:50:00.120024004,P004,50,138.71315804655555,7,折扣,線下,北京
2023-01-06 00:34:51.298259651,P004,850,65.85011927498485,5,VIP,移動端,深圳
2023-01-06 02:19:42.476495299,P001,517,89.27880185984816,6,滿減,移動端,深圳
2023-01-06 04:04:33.654730946,P005,916,110.39592090715152,3,無,線上,廣州
2023-01-06 05:49:24.832966593,P005,855,103.50479172924625,7,VIP,移動端,上海
2023-01-06 07:34:16.011202240,P002,638,111.5534712423529,5,VIP,移動端,上海
2023-01-06 09:19:07.189437887,P005,587,145.19021269423158,8,滿減,線下,深圳
2023-01-06 11:03:58.367673534,P002,677,101.38854724786603,7,VIP,線上,上海
2023-01-06 12:48:49.545909181,P001,278,66.23930700074997,3,VIP,線上,北京
2023-01-06 14:33:40.724144829,P004,954,93.57637187195546,5,無,線下,杭州
2023-01-06 16:18:31.902380476,P004,836,86.1566474502777,9,折扣,移動端,廣州
2023-01-06 18:03:23.080616123,P004,989,151.7056510376456,5,滿減,移動端,北京
2023-01-06 19:48:14.258851770,P005,300,65.05486303939257,6,無,線下,北京
2023-01-06 21:33:05.437087417,P001,802,130.0644126306307,4,無,線下,北京
2023-01-06 23:17:56.615323064,P005,589,83.59828739092835,6,折扣,移動端,上海
2023-01-07 01:02:47.793558711,P005,810,96.75661070458962,6,折扣,線上,杭州
2023-01-07 02:47:38.971794358,P001,649,97.4501320841017,5,滿減,線下,廣州
2023-01-07 04:32:30.150030006,P001,618,78.93918424684185,6,滿減,移動端,深圳
